Delegacia;fem_112016;tent_112016;fem_122016;tent_122016;fem_012017;tent_012017;fem_022017;tent_022017
1ª DP - Praça Mauá;0;0;0;0;0;0;0;0
4ª DP - Praça da República;0;0;0;0;0;0;0;0
5ª DP - Mem de Sá;0;0;0;0;0;0;0;0
6ª DP - Cidade Nova;0;0;0;0;0;0;0;0
7ª DP - Santa Tereza;0;0;0;0;0;0;0;0
9ª DP - Catete;0;0;0;0;0;0;0;0
10ª DP - Botafogo;0;0;0;0;1;0;0;0
11ª DP - Rocinha;0;0;0;0;0;0;0;0
12ª DP - Copacabana;0;0;0;0;0;0;0;0
13ª DP - Ipanema;0;0;0;0;0;0;0;0
14ª DP - Leblon;0;0;0;0;0;0;0;0
15ª DP - Gávea;0;0;0;0;0;0;0;0
16ª DP - Barra da Tijuca;0;0;0;1;0;1;0;0
17ª DP - São Cristóvão;0;0;0;0;0;0;0;0
18ª DP - Praça da Bandeira;0;0;0;0;0;0;0;0
19ª DP - Tijuca;0;1;0;0;0;0;0;0
20ª DP - Grajaú;0;0;0;0;0;0;0;0
21ª DP - Bonsucesso;0;1;0;0;1;1;0;0
22ª DP - Penha;0;0;0;0;0;0;0;0
23ª DP - Meier;0;0;0;0;0;0;0;0
24ª DP - Piedade;0;0;0;0;0;0;0;0
25ª DP - Engenho Novo;0;0;0;1;0;0;0;0
26ª DP - Todos os Santos;0;0;0;0;0;1;0;0
27ª DP - Vicente de Carvalho;0;0;0;0;0;0;0;0
28ª DP - Campinho;1;0;1;0;0;0;0;0
29ª DP - Madureira;0;1;0;0;0;0;0;0
30ª DP - Marechal Hermes;0;1;0;0;0;0;0;0
31ª DP - Ricardo Albuquerque;0;1;0;0;0;0;0;0
32ª DP - Taquara;1;0;0;0;0;0;0;1
33ª DP - Realengo;0;0;0;0;0;0;0;0
34ª DP - Bangu;0;0;0;0;0;4;0;0
35ª DP - Campo Grande;1;0;1;0;1;0;0;0
36ª DP - Santa Cruz;0;0;0;0;1;1;0;1
37ª DP - Ilha do Governador;0;0;0;1;0;0;1;0
38ª DP - Braz de Pina;0;0;0;0;0;1;0;0
39ª DP - Pavuna;0;0;0;0;0;0;0;0
40ª DP - Honório Gurgel;0;0;0;0;0;0;0;0
41ª DP - Tanque;0;0;0;2;0;0;0;0
42ª DP - Recreio;0;0;0;0;0;0;0;0
43ª DP - Pedra de Guaratiba;1;1;0;1;0;0;0;0
44ª DP - Inhaúma ;0;0;0;0;0;0;1;0
45ª DP - Alemão;0;0;0;0;0;0;0;0
48ª DP - Seropédica;0;0;0;0;0;0;0;0
50ª DP - Itaguaí;0;0;0;0;0;0;0;0
51ª DP - Paracambí;0;0;0;0;0;0;0;0
52ª DP - Nova Iguaçu;0;0;0;0;0;0;0;0
53ª DP - Mesquita;0;0;0;0;0;0;0;0
54ª DP - Belford Roxo;0;1;0;0;0;0;0;0
55ª DP - Queimados;0;0;0;1;0;0;0;0
56ª DP - Comendador Soares;0;1;1;0;0;0;0;0
57ª DP - Nilópolis;0;0;0;1;0;0;0;0
58ª DP - Posse;0;0;0;0;0;0;1;0
59ª DP - Duque de Caxias;0;1;0;1;0;1;0;1
60ª DP - Campos Elíseos;0;0;0;0;0;0;0;1
61ª DP - Xerém ;0;0;0;0;0;0;0;0
62ª DP - Imbariê;0;0;0;0;0;0;0;0
63ª DP - Japerí ;0;0;0;1;0;0;0;0
64ª DP - Vilar dos Teles;0;0;0;0;0;0;0;0
65ª DP - Magé ;0;0;0;0;0;0;0;0
66ª DP - Piabetá;0;0;0;2;0;0;0;0
67ª DP - Guapimirim;0;0;0;0;0;0;0;0
70ª DP - Tanguá;0;0;0;0;0;0;0;0
71ª DP - Itaboraí;0;0;0;0;0;0;0;4
72ª DP - São Gonçalo;0;2;0;0;0;2;0;0
73ª DP - Neves;0;2;0;0;0;2;0;0
74ª DP - Alcantara;0;0;0;0;0;0;0;0
75ª DP - Rio do Ouro;0;0;0;0;0;0;0;0
76ª DP - Niterói - Centro;0;1;0;0;0;0;0;1
77ª DP - Icaraí;0;0;0;0;0;0;0;0
78ª DP - Fonseca;0;0;0;0;0;0;0;0
79ª DP - Jurujuba;0;0;0;0;0;0;0;0
81ª DP - Itaipú;0;0;1;0;0;0;0;0
82ª DP - Maricá;0;0;0;0;0;0;0;0
87ª DP - Paty do Alferes;0;0;0;0;0;0;0;0
88ª DP - Barra do Piraí;0;0;0;0;0;0;0;0
89ª DP - Resende;1;2;0;0;0;0;0;0
90ª DP - Barra Mansa;0;2;0;1;0;1;0;0
91ª DP - Valença;0;0;0;0;0;0;0;1
92ª DP - Rio das Flores;0;0;0;0;0;0;0;0
93ª DP - Volta Redonda;0;0;0;0;0;0;0;0
94ª DP - Piraí;0;0;0;0;0;0;0;0
95ª DP - Vassouras;0;0;0;0;0;0;0;0
96ª DP - Miguel Pereira;0;0;0;0;0;0;0;0
97ª DP - Mendes;0;0;0;0;0;0;0;0
98ª DP - Paulo de Frontin;0;0;0;0;0;0;0;0
99ª DP - Itatiaia;0;0;0;0;0;0;0;0
100ª DP - Porto Real;0;0;0;0;0;0;1;0
101ª DP - Pinheiral ;0;0;0;0;0;0;0;0
104ª DP - São J. Rio Preto;0;0;0;0;0;0;0;0
105ª DP - Petrópolis;0;0;0;0;0;0;0;0
106ª DP - Itaipava;0;0;0;0;0;0;0;0
107ª DP - Paraíba do Sul;0;0;0;0;0;0;0;0
108ª DP - Três Rios;0;0;0;0;0;1;0;0
109ª DP - Sapucaia;0;0;0;0;0;0;0;0
110ª DP - Teresópolis;0;0;0;0;0;0;0;0
111ª DP - Sumidouro;0;0;0;0;0;0;0;0
112ª DP - Carmo;0;0;0;0;0;0;0;0
118ª DP - Araruama;1;0;0;0;0;0;0;0
119ª DP - Rio Bonito ;0;0;0;0;0;0;0;0
120ª DP - Silva Jardim;0;0;0;0;0;0;0;0
121ª DP - Casimiro de Abreu;0;0;0;0;0;0;0;0
122ª DP - Conceição de Macabú;0;0;0;0;0;0;0;0
123ª DP - Macaé ;0;0;0;0;0;0;0;0
124ª DP - Saquarema;0;1;0;0;0;0;0;0
125ª DP - São Pedro da Aldeia;0;0;0;0;0;0;0;0
126ª DP - Cabo Frio;0;0;0;2;0;0;0;0
127ª DP - Búzios;0;0;0;0;0;0;0;0
128ª DP - Rio das Ostras;0;0;0;0;0;0;0;0
129ª DP - Iguaba ;0;0;0;0;0;0;0;0
130ª DP - Quissamã ;0;0;0;0;0;0;0;0
132ª DP - Arraial do Cabo;0;0;0;0;0;0;0;0
134ª DP - Campos;1;1;0;2;0;1;1;1
135ª DP - Itaocara;0;0;0;0;0;1;0;0
136ª DP - Santo Antonio de Pádua;0;0;0;0;0;0;0;0
137ª DP - Miracema;0;0;0;0;1;1;0;0
138ª DP - Lajes de Muriaré;0;0;0;0;0;0;0;0
139ª DP - Porciúncula;0;0;0;0;0;0;0;0
140ª DP - Natividade ;0;0;0;0;0;0;0;0
141ª DP - São Fidelis;0;0;0;0;0;0;0;0
142ª DP - Cambucí;0;0;0;0;0;0;0;0
143ª DP - Itaperuna;1;0;0;0;0;0;0;0
144ª DP - Bom Jesus Itabapoana;0;0;0;0;0;0;0;0
145ª DP - São João da Barra;0;0;0;0;0;0;0;0
146ª DP - Guarus;1;2;0;0;1;2;0;0
147ª DP - São Francisco de Itabapoana;0;0;0;1;0;0;0;0
148ª DP - Italva;0;0;0;0;0;0;0;1
151ª DP - Nova Friburgo;1;0;0;2;1;1;0;2
152ª DP - Duas Barras;0;0;0;0;0;0;0;0
153ª DP - Cantagalo;0;0;0;0;0;0;0;0
154ª DP - Cordeiro;0;0;0;0;0;1;0;0
155ª DP - São Sebastião do Alto;0;0;0;0;0;0;0;0
156ª DP - Santa Maria Madalena;0;0;0;0;0;0;0;0
157ª DP - Trajano de Morais;0;0;0;0;0;0;0;0
158ª DP - Bom Jardim;0;0;0;0;0;0;0;0
159ª DP - Cachoeira de Macacú;1;0;0;1;0;0;0;0
165ª DP - Mangaratiba;0;0;0;0;0;0;2;0
166ª DP - Angra dos Reis;0;0;0;0;0;2;0;0
167ª DP - Parati;0;0;0;0;0;0;0;0
168ª DP - Rio Claro.;0;0;0;0;0;0;0;0
Total;11;22;4;21;7;25;7;14
